Order,Chart,Row,Artist,Album,Date Finished,Primary Genre,Specific Genre,Average Rating,Ratings by Listen,,,,,,,,,,,,,,,
153,2,1,Laura Marling,"Alas, I Cannot Swim",1/1/2017,,,N/A,,,,,,,,,,,,,,,,
154,2,1,Chicano Batman,Freedom Is Free,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
155,2,1,Sampha,Process,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
156,2,1,Pinegrove,Cardinal,1/1/2017,Rock,Indie Rock/Folk Rock,N/A,,,,,,,,,,,,,,,,
157,2,2,Saba,Bucket List Project,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
158,2,2,Noname,Telefone,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
159,2,2,Jen Lekmans,Night Falls Over Kortedala,1/1/2017,,,N/A,,,,,,,,,,,,,,,,
160,2,2,The Mountain Goats,Beat the Champ,1/1/2017,,,N/A,,,,,,,,,,,,,,,,
161,2,2,Mitski,Puberty,1/1/2017,,,N/A,,,,,,,,,,,,,,,,
162,2,2,Pyschopomp,Japanese Breakfast,1/1/2017,,,N/A,,,,,,,,,,,,,,,,
163,2,2,Swet Shop Boys,Cashmere,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
164,2,2,Frank Ocean,Blond,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
165,2,2,Frank Ocean,Channel Orange,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
166,2,2,Anderson .Paak,Venice,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
167,2,2,Kevin Abstract,MTV1987,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
168,2,2,Kevin Abstract,American Boyfriend,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
169,2,3,Miguel,Wildheart,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
170,2,3,A Tribe Called Quest,We Got It From Here... Thank You For Your Service,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
171,2,3,Vic Mensa,There's A Lot Going On Here,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
172,2,3,Vince Staples,Summertime '06,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
173,2,3,KAYTRANADA,99.90%,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
174,2,3,The Mountain Goats,All Hail West Texas,1/1/2017,,,N/A,,,,,,,,,,,,,,,,
175,2,3,The Pablo Collective,The Death of Pablo,1/1/2017,,,N/A,,,,,,,,,,,,,,,,
176,2,3,The Weakerthans,Left and Leaving,1/1/2017,Rock,Emo Rock,N/A,,,,,,,,,,,,,,,,
177,2,3,The Hoteliers,"Home, Like NoPlace Is There",1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
178,2,3,Case/lang/viers,Case/lang/viers,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
179,2,3,Conor Oberst,Rumminations,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
180,2,3,Passion Pit,Tremendous Sea of Love,1/1/2017,Rock,,4,4,,,,,,,,,,,,,,,
181,2,4,Kamasi Washington,The Epic,1/1/2017,Jazz,,N/A,,,,,,,,,,,,,,,,
182,2,4,Phantogram,Three,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
